// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;StarShepards Headquarters
STATION;type;Worship Center
STATION;owner;Temple Of the Void
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color; 1.0 , 0.0 , 1.0 , 1.0
STATION;level;7
STATION;icon;star_shepards.png
STATION;filename;sector_0_station_3.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-4-0-4-1-3-0-0-4-1-3-6-1-5-1-1-3-1-3-0
STATION;interior_seed;3-3-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(support_escort_1).txt
MERC;9;1.93;npc_ship_data_(support_utility_1).txt
MERC;12;1.23;npc_ship_data_(support_utility_2).txt
MERC;15;1.47;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Stock: (1) Items ;2063x77;55990;21124.64
BUYORDER;Market Shortage: (3) Items ;332x269,303x186,324x121;47795.00;42675.43
BUYORDER;Market Shortage: (2) Items ;332x99,324x238;23766.00;86000.91
BUYORDER;Market Out of Stock: (1) Items ;332x70;9803.00;46831.74
ITEM;1;6489;2.50
ITEM;1522;9;2.50
ITEM;1622;260;2.50
ITEM;1642;20;2.50
ITEM;1582;193;2.50
ITEM;1652;53;2.50
ITEM;641;7;2.50
ITEM;1617;151;2.50
ITEM;1602;8;2.50
ITEM;1562;8;2.50
ITEM;1592;53;2.50
ITEM;402;281;2.50
ITEM;422;58;2.50
ITEM;1156;214;2.50
ITEM;302;2279;2.50
ITEM;153;40;2.50
ITEM;40;5721;2.50
ITEM;500;2;2.50
ITEM;50;3805;2.50
ITEM;1520;172;2.50
ITEM;1620;4;2.50
ITEM;1530;40;2.50
ITEM;1570;41;2.50
ITEM;1510;201;2.50
ITEM;60;3259;2.50
ITEM;1615;9;2.50
