// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Proctors Center
STATION;type;Patrol Annex Station
STATION;owner;Kandace
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color; 0.0 , 0.0 , 1.0 , 1.0
STATION;level;7
STATION;icon;proctors.png
STATION;filename;sector_0_station_5.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;40
STATION;seed;3-4-0-1-2-0-2-1-2-0-0-4-1-3-2-1-2-1-1-2-1-3-0
STATION;interior_seed;3-1-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(battle_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(battle_escort_1).txt
MERC;9;1.93;npc_ship_data_(battle_utility_1).txt
MERC;12;1.23;npc_ship_data_(battle_utility_2).txt
MERC;15;1.47;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Sell Order for: (1) Items ;43x34;285.00;102899.00
ITEM;1;2913;2.50
ITEM;1622;49;2.50
ITEM;1532;190;2.50
ITEM;1642;78;2.50
ITEM;1572;67;2.50
ITEM;1512;26;2.50
ITEM;622;34;2.50
ITEM;1632;21;2.50
ITEM;1542;27;2.50
ITEM;641;28;2.50
ITEM;1617;21;2.50
ITEM;1602;129;2.50
ITEM;1552;12;2.50
ITEM;1562;100;2.50
ITEM;1612;71;2.50
ITEM;1592;8;2.50
ITEM;402;281;2.50
ITEM;422;10;2.50
ITEM;1155;84;2.50
ITEM;302;1711;2.50
ITEM;153;55;2.50
ITEM;40;7448;2.50
ITEM;500;49;2.50
ITEM;1520;3;2.50
ITEM;70;3721;2.50
ITEM;1770;3;2.50
ITEM;1640;7;2.50
ITEM;1510;360;1.52
ITEM;1650;2;2.50
ITEM;620;57;2.50
ITEM;312;4568;2.50
ITEM;1630;61;2.50
ITEM;1540;0;2.50
ITEM;60;4155;2.50
ITEM;1615;38;2.50
ITEM;1600;49;2.50
ITEM;201;136;2.50
ITEM;1550;42;2.50
ITEM;1610;4;2.50
ITEM;1590;8;2.50
ITEM;400;282;2.50
ITEM;420;90;2.50
ITEM;205;214;2.50
ITEM;101;156;2.50
ITEM;200;196;2.50
ITEM;301;11759;2.50
ITEM;661;2;2.50
ITEM;660;40;2.50
ITEM;42;3946;2.50
ITEM;52;404;2.50
ITEM;62;5959;2.50
ITEM;151;137;2.50
ITEM;1451;1;2.50
ITEM;1300;17;2.50
ITEM;1001;13;2.50
ITEM;1153;287;1.52
ITEM;1150;50;2.50
ITEM;1100;1;2.50
ITEM;1200;2;2.50
ITEM;1152;32;2.50
ITEM;1102;5;2.50
ITEM;1002;66;2.50
ITEM;1151;7;2.50
ITEM;1450;52;2.50
ITEM;1052;26;2.50
ITEM;313;13036;2.50
ITEM;2;1690;2.50
ITEM;102;422;2.50
ITEM;1621;17;2.50
ITEM;1531;40;2.50
ITEM;1641;16;2.50
ITEM;1571;14;2.50
ITEM;1581;9;2.50
ITEM;1651;5;2.50
ITEM;621;26;2.50
ITEM;1631;4;2.50
ITEM;1541;100;2.50
ITEM;1616;4;2.50
ITEM;1601;129;2.50
ITEM;1551;8;2.50
ITEM;1561;3;2.50
ITEM;1591;48;2.50
ITEM;401;344;2.50
ITEM;421;36;2.50
ITEM;2450;5;2.50
ITEM;2451;68;2.50
ITEM;1205;93;2.50
ITEM;41;5543;2.50
ITEM;501;1;2.50
ITEM;61;4034;2.50
ITEM;521;2;2.50
ITEM;1008;119;2.50
ITEM;1007;40;2.50
ITEM;1055;26;2.50
ITEM;304;3652;2.50
ITEM;2452;42;2.50
ITEM;2453;48;2.50
ITEM;2454;5;2.50
ITEM;305;2392;2.50
ITEM;4;2220;2.50
ITEM;155;52;2.50
ITEM;104;285;2.50
ITEM;203;142;2.50
ITEM;157;104;2.50
ITEM;2455;5;2.50
ITEM;601;8;2.50
ITEM;150;97;2.50
ITEM;206;55;2.50
ITEM;103;81;2.50
ITEM;1523;351;1.52
ITEM;1503;0;2.50
ITEM;600;9;2.50
ITEM;1110;61;2.50
ITEM;1574;374;1.52
ITEM;1013;44;2.50
ITEM;154;98;2.50
ITEM;21;4004;2.50
ITEM;2456;5;2.50
ITEM;2457;70;2.50
ITEM;156;195;2.50
